iter	Logloss
0	0.6553843724
1	0.6264801217
2	0.6004576788
3	0.5775631512
4	0.5578864223
5	0.5416124423
6	0.5256056979
7	0.5128569376
8	0.5011086206
9	0.4909781684
10	0.482723106
11	0.4755653347
12	0.4686503119
13	0.4622700368
14	0.4571721701
15	0.4508132816
16	0.4467761975
17	0.4422790698
18	0.4382320729
19	0.4334463052
20	0.4301066987
21	0.4262914681
22	0.4230463219
23	0.4202184038
24	0.4172088791
25	0.4144830931
26	0.4113061402
27	0.4082153235
28	0.4061082382
29	0.4044595259
30	0.4031610775
31	0.4006343465
32	0.3988146679
33	0.3960298149
34	0.3946956476
35	0.393628664
36	0.3915655613
37	0.3903254818
38	0.3884055106
39	0.3870193522
40	0.3858522319
41	0.3839528378
42	0.3830829447
43	0.3815601703
44	0.3799228347
45	0.3790688432
46	0.3779340836
47	0.3770062702
48	0.3759652664
49	0.3745813861
50	0.3740538259
51	0.3729999444
52	0.3716687251
53	0.3703593335
54	0.3696857659
55	0.3686789832
56	0.3674647568
57	0.3664631504
58	0.3657571612
59	0.3648281452
60	0.3643887338
61	0.3637979631
62	0.3633235747
63	0.362798026
64	0.3620094827
65	0.3609446203
66	0.360309762
67	0.3591075823
68	0.35812155
69	0.3571613187
70	0.3564248577
71	0.355975515
72	0.3552701993
73	0.3545081052
74	0.3538153883
75	0.3531300143
76	0.3521973351
77	0.3515309605
78	0.3511597062
79	0.3503174571
80	0.3498732189
81	0.3493110407
82	0.3486307417
83	0.347862282
84	0.347412431
85	0.3467508583
86	0.3463471105
87	0.3458940708
88	0.3453596951
89	0.3446017964
90	0.3441485019
91	0.3432072475
92	0.3425656818
93	0.3420870427
94	0.3416415614
95	0.3411922233
96	0.3408647997
97	0.3405609601
98	0.340205124
99	0.3399168424
