iter	Passed	Remaining
0	1	177
1	3	168
2	5	166
3	6	162
4	8	157
5	9	154
6	11	149
7	12	147
8	14	144
9	15	143
10	17	142
11	19	142
12	21	140
13	22	138
14	24	137
15	26	137
16	27	135
17	29	134
18	31	132
19	32	131
20	34	129
21	36	129
22	38	128
23	40	126
24	41	125
25	43	123
26	44	121
27	46	120
28	48	118
29	50	117
30	52	115
31	53	114
32	55	112
33	56	110
34	58	109
35	60	107
36	62	105
37	63	103
38	65	102
39	66	100
40	68	98
41	70	97
42	71	95
43	73	93
44	75	91
45	76	89
46	77	87
47	79	86
48	81	84
49	82	82
50	84	80
51	85	79
52	87	77
53	88	75
54	90	73
55	91	72
56	93	70
57	95	69
58	97	67
59	99	66
60	101	64
61	103	63
62	105	61
63	106	60
64	108	58
65	110	56
66	112	55
67	114	53
68	115	52
69	117	50
70	119	48
71	120	46
72	122	45
73	124	43
74	125	41
75	127	40
76	129	38
77	131	37
78	133	35
79	135	33
80	137	32
81	139	30
82	141	28
83	143	27
84	145	25
85	147	24
86	149	22
87	150	20
88	152	18
89	154	17
90	156	15
91	157	13
92	159	12
93	161	10
94	162	8
95	165	6
96	167	5
97	169	3
98	171	1
99	173	0
